n;sexomf;idade78;idade;peso;altura;tipomochila;carrmochila;escollado;;;;;;;;
1;F;7;7,25;24,9;1,239;C;4;D;;;;;;;;
2;F;7;7,58;27,5;1,303;C;4;E;;;;;;;;
3;F;7;7,08;25,7;1,34;C;4;D;;;;;;;;
4;F;7;7,42;22,3;1,291;C;5;E;;;;;;;;
5;F;7;7,67;23;1,301;C;4;D;;;;;;;;
6;F;7;7,58;26,3;1,262;C;4;E;;;;;;;;
7;F;7;6,83;23,6;1,296;C;4;D;;;;;;;;
8;F;7;7,08;27,1;1,258;E;1;D;;;;;;;;
9;F;7;7,67;21,2;1,191;C;4;D;;;;;;;;
10;F;7;6,92;22,1;1,19;L;3;E;;;;;;;;
11;F;7;7,58;21;1,176;C;4;D;;;;;;;;
12;F;7;7,5;22;1,267;C;4;D;;;;;;;;
13;F;7;7,33;23,4;1,266;C;4;D;;;;;;;;
14;F;7;7;21,8;1,179;C;4;D;;;;;;;;
15;F;7;7;16,5;1,158;C;4;E;;;;;;;;
16;F;7;7,5;26,3;1,257;C;4;E;;;;;;;;
17;F;7;7,5;24,5;1,22;C;4;D;;;;;;;;
18;F;7;7,67;27,2;1,287;E;1;D;;;;;;;;
19;F;7;7,17;21,4;1,205;E;6;D;;;;;;;;
20;F;7;7,08;28,8;1,34;L;3;D;;;;;;;;
22;F;7;7,58;21,2;1,198;E;1;A;;;;;;;;
23;F;7;7,58;22,5;1,246;E;1;A;;;;;;;;
24;F;7;7,42;29,8;1,303;C;4;D;;;;;;;;
25;F;7;7,67;24,8;1,26;L;3;E;;;;;;;;
26;F;7;6,75;21,8;1,172;E;1;A;;;;;;;;
27;F;7;7,33;19,9;1,197;L;3;E;;;;;;;;
28;F;7;7,42;25;1,234;E;1;D;;;;;;;;
29;F;7;7,25;26,1;1,235;C;4;A;;;;;;;;
30;F;7;7,33;27,9;1,26;C;4;D;;;;;;;;
31;F;7;7,5;20,3;1,218;L;3;D;;;;;;;;
32;F;7;7,67;19,9;1,15;L;3;D;;;;;;;;
33;F;7;7,67;24,5;1,275;C;4;E;;;;;;;;
34;F;7;7,67;25,6;1,24;C;5;E;;;;;;;;
35;F;7;7,67;31,8;1,366;C;4;D;;;;;;;;
36;F;7;7,42;27,1;1,313;C;4;D;;;;;;;;
37;F;7;7,33;20,3;1,17;E;1;E;;;;;;;;
38;F;7;7,67;28,6;1,293;C;4;E;;;;;;;;
39;F;7;7,33;18,5;1,132;C;4;E;;;;;;;;
40;F;7;7,25;21,3;1,168;E;1;D;;;;;;;;
41;F;7;7,58;26,8;1,221;E;1;A;;;;;;;;
42;F;7;7,67;25,2;1,223;E;1;E;;;;;;;;
43;F;7;7,5;22,9;1,24;C;5;E;;;;;;;;
44;F;7;7,5;27,1;1,365;E;1;E;;;;;;;;
45;F;7;6,92;24,9;1,219;C;4;D;;;;;;;;
46;F;7;6,92;23,2;1,182;E;1;E;;;;;;;;
47;F;7;7,2;25,1;1,292;C;4;E;;;;;;;;
48;F;7;7;19,7;1,217;E;1;D;;;;;;;;
49;F;7;6,83;20,6;1,175;E;1;D;;;;;;;;
50;F;7;7;22,8;1,223;E;2;E;;;;;;;;
51;F;7;7,2;20,9;1,168;C;4;E;;;;;;;;
52;F;7;7,58;24,5;1,222;E;1;E;;;;;;;;
53;F;7;7,08;24,6;1,22;E;1;E;;;;;;;;
54;F;7;6,92;18,4;1,19;C;4;E;;;;;;;;
55;F;7;7,17;22,3;1,233;E;1;E;;;;;;;;
56;F;7;7,42;23,2;1,187;C;4;E;;;;;;;;
57;F;7;7,5;23,7;1,189;C;4;D;;;;;;;;
58;F;7;7,17;22,4;1,175;E;1;E;;;;;;;;
59;F;7;7,2;22;1,245;E;1;E;;;;;;;;
60;F;7;7,58;17,1;1,12;C;5;E;;;;;;;;
61;F;7;7,6;32,6;1,367;L;3;A;;;;;;;;
62;F;7;7,17;22,5;1,165;C;5;A;;;;;;;;
63;F;7;7,6;19,4;1,126;E;1;D;;;;;;;;
64;F;7;7;20,7;1,231;E;1;E;;;;;;;;
65;F;7;7,5;21,8;1,237;E;1;D;;;;;;;;
66;F;7;7,33;24,8;1,223;E;1;D;;;;;;;;
67;F;8;8,33;21,7;1,27;C;5;D;;;;;;;;
68;F;8;8,08;22,2;1,36;C;4;E;;;;;;;;
69;F;8;8,25;27,8;1,333;E;1;E;;;;;;;;
70;F;8;8,25;23,9;1,346;C;4;D;;;;;;;;
71;F;8;8,08;24,2;1,29;C;4;D;;;;;;;;
72;F;8;7,92;26,7;1,382;C;4;D;;;;;;;;
73;F;8;8,08;22,5;1,252;L;3;D;;;;;;;;
74;F;8;8,08;26;1,353;E;1;E;;;;;;;;
75;F;8;8,08;25,8;1,287;E;2;D;;;;;;;;
76;F;8;8,67;32,6;1,367;C;4;D;;;;;;;;
77;F;8;7,83;26;1,264;C;5;D;;;;;;;;
78;F;8;7,92;31,6;1,32;E;1;E;;;;;;;;
79;F;8;7,92;23,6;1,286;C;4;A;;;;;;;;
80;F;8;8,67;26,2;1,343;E;1;D;;;;;;;;
81;F;8;7,92;29,9;1,355;C;4;A;;;;;;;;
82;F;8;8,08;25,9;1,296;E;1;D;;;;;;;;
83;F;8;8;30,5;1,312;C;4;E;;;;;;;;
84;F;8;7,83;27,3;1,24;C;4;E;;;;;;;;
85;F;8;8,58;26,4;1,346;E;1;D;;;;;;;;
86;F;8;7,92;29,4;1,27;E;1;D;;;;;;;;
87;F;8;7,83;24,9;1,283;E;1;A;;;;;;;;
88;F;8;8,25;26,5;1,27;E;1;A;;;;;;;;
89;F;8;8,17;30,6;1,335;C;4;E;;;;;;;;
90;F;8;7,92;21,4;1,238;E;6;A;;;;;;;;
91;F;8;8,33;27,6;1,27;C;4;E;;;;;;;;
92;F;8;8,25;26,8;1,27;C;4;A;;;;;;;;
93;F;8;8,58;29,3;1,322;E;1;E;;;;;;;;
94;F;8;8,5;21,9;1,21;L;3;D;;;;;;;;
95;F;8;7,83;26;1,285;L;3;D;;;;;;;;
96;F;8;8,67;20,4;1,213;E;1;D;;;;;;;;
97;F;8;8,25;33,5;1,37;E;1;D;;;;;;;;
98;F;8;8,42;32,5;1,4;E;1;D;;;;;;;;
99;F;8;7,83;30;1,282;E;1;D;;;;;;;;
100;F;8;7,83;21,9;1,245;C;5;E;;;;;;;;
101;F;8;8,67;26,4;1,295;C;4;D;;;;;;;;
102;F;8;8,67;31,8;1,312;L;3;D;;;;;;;;
103;F;8;8,58;23,1;1,222;E;1;E;;;;;;;;
104;F;8;8;21,7;1,212;C;5;E;;;;;;;;
105;F;8;8,08;22,5;1,225;E;1;E;;;;;;;;
106;F;8;8,25;22,7;1,254;C;4;A;;;;;;;;
107;F;8;8,33;19,2;1,17;E;1;D;;;;;;;;
